Date;Open;High;Low;Close*;Adj Close**;Volume
Jun 19;1.1210;1.1230;1.1130;1.1230;1.1230;9300
Jun 18;1.1080;1.1200;1.1080;1.1200;1.1200;8400
Jun 17;1.1080;1.1090;1.1060;1.1090;1.1090;3300
Jun 16;1.1100;1.1130;1.1100;1.1130;1.1130;12600
Jun 15;1.1070;1.1220;1.1000;1.1000;1.1000;26100
Jun 12;1.1120;1.1140;1.1010;1.1060;1.1060;21800
Jun 11;1.1200;1.1270;1.1150;1.1150;1.1150;44649
Jun 10;1.1300;1.1300;1.1210;1.1220;1.1220;8300
Jun 09;1.1270;1.1310;1.1220;1.1220;1.1220;118200
Jun 08;1.1200;1.1300;1.1180;1.1180;1.1180;274049
Jun 05;1.1100;1.1180;1.1100;1.1180;1.1180;8565
Jun 04;1.1190;1.1190;1.1150;1.1160;1.1160;2800
Jun 03;1.1150;1.1290;1.1130;1.1200;1.1200;30600
Jun 02;1.1050;1.1120;1.0990;1.1050;1.1050;28900
Jun 01;1.0980;1.1050;1.0900;1.1050;1.1050;73000
May 29;1.0860;1.0860;1.0750;1.0780;1.0780;11000
May 28;1.0920;1.0970;1.0780;1.0780;1.0780;18000
May 27;1.0950;1.0950;1.0780;1.0780;1.0780;6700
May 26;1.0770;1.0900;1.0770;1.0790;1.0790;9600
May 25;1.0880;1.1060;1.0740;1.0760;1.0760;110700
May 22;1.1000;1.1010;1.0880;1.0950;1.0950;171900
May 21;1.1020;1.1120;1.1020;1.1020;1.1020;6919
May 20;1.1020;1.1250;1.1010;1.1020;1.1020;4900
May 19;1.1290;1.1290;1.1070;1.1070;1.1070;3000
May 18;1.1170;1.1180;1.1000;1.1000;1.1000;1200
May 15;1.1000;1.1190;1.1000;1.1170;1.1170;7700
May 14;1.1170;1.1170;1.1000;1.1000;1.1000;11300
May 13;1.1470;1.1470;1.1040;1.1170;1.1170;20700
May 12;1.1200;1.1200;1.1130;1.1170;1.1170;19927
May 11;1.1250;1.1250;1.1150;1.1220;1.1220;48500
May 08;1.1100;1.1220;1.1100;1.1200;1.1200;59200
May 07;1.1050;1.1300;1.0910;1.1300;1.1300;166500
May 06;1.1140;1.1140;1.1030;1.1050;1.1050;57800
Apr 30;1.1000;1.1170;1.0980;1.1030;1.1030;171000
Apr 29;1.0860;1.1180;1.0770;1.0990;1.0990;47400
Apr 28;1.0910;1.0910;1.0750;1.0750;1.0750;27000
Apr 27;1.0900;1.1010;1.0790;1.0820;1.0820;222846
Apr 24;1.0900;1.0900;1.0800;1.0900;1.0900;203027
Apr 23;1.0800;1.0910;1.0800;1.0910;1.0910;21800
Apr 22;1.0800;1.0910;1.0790;1.0800;1.0800;56600
Apr 21;1.1000;1.1040;1.0850;1.0900;1.0900;12100
Apr 20;1.0950;1.0990;1.0860;1.0960;1.0960;33500
Apr 17;1.0800;1.0960;1.0790;1.0950;1.0950;352000
Apr 16;1.0820;1.0910;1.0580;1.0900;1.0900;353000
Apr 15;1.0910;1.0910;1.0820;1.0820;1.0820;17800
Apr 14;1.0800;1.0920;1.0610;1.0920;1.0920;187600
Apr 13;1.0630;1.0800;1.0630;1.0800;1.0800;48000
Apr 10;1.1080;1.1080;1.0690;1.0820;1.0820;93700
Apr 09;1.1000;1.1010;1.0770;1.0780;1.0780;56000
Apr 08;1.0900;1.0900;1.0840;1.0860;1.0860;2500
Apr 07;1.0770;1.1050;1.0770;1.0930;1.0930;86100
Apr 03;1.0800;1.0910;1.0730;1.0760;1.0760;9300
Apr 02;1.0530;1.0710;1.0530;1.0710;1.0710;35800
Apr 01;1.0750;1.0790;1.0660;1.0690;1.0690;102400
Mar 31;1.0880;1.0880;1.0720;1.0750;1.0750;5300
Mar 30;1.0760;1.0760;1.0700;1.0720;1.0720;10300
Mar 27;1.0990;1.0990;1.0720;1.0930;1.0930;94300
Mar 26;1.0640;1.0740;1.0640;1.0690;1.0690;16300
Mar 25;1.0810;1.0850;1.0690;1.0800;1.0800;64900
Mar 24;1.0220;1.0880;1.0220;1.0810;1.0810;76100
Mar 23;1.0950;1.0950;1.0200;1.0640;1.0640;36600
Mar 20;1.0510;1.0700;1.0480;1.0690;1.0690;119082
Mar 19;1.0560;1.0640;1.0110;1.0510;1.0510;155800
Mar 18;1.1200;1.1200;1.0400;1.0450;1.0450;133600
Mar 17;1.1300;1.1300;1.0890;1.0890;1.0890;206100
Mar 16;1.1470;1.1470;1.1000;1.1300;1.1300;247400
Mar 13;1.1130;1.1400;1.0900;1.1100;1.1100;127500
Mar 12;1.1610;1.1870;1.1470;1.1470;1.1470;35500
Mar 11;1.1700;1.1930;1.1580;1.1900;1.1900;61900
Mar 10;1.1500;1.1700;1.1500;1.1660;1.1660;91000
Mar 09;1.1750;1.1960;1.1330;1.1360;1.1360;140900
Mar 06;1.1940;1.2020;1.1330;1.1760;1.1760;96200
Mar 05;1.1870;1.2030;1.1870;1.1940;1.1940;134397
Mar 04;1.1450;1.2030;1.1450;1.1870;1.1870;58900
Mar 03;1.2070;1.2070;1.1670;1.1730;1.1730;9200
Mar 02;1.1310;1.1820;1.1310;1.1810;1.1810;33300
Feb 28;1.1600;1.1600;1.1210;1.1300;1.1300;109169
Feb 27;1.1580;1.1790;1.1580;1.1600;1.1600;15300
Feb 26;1.1510;1.1700;1.1510;1.1580;1.1580;12000
Feb 25;1.1680;1.1690;1.1430;1.1650;1.1650;148048
Feb 24;1.1980;1.1980;1.1630;1.1700;1.1700;136331
Feb 21;1.1640;1.1990;1.1640;1.1980;1.1980;102900
Feb 20;1.1650;1.1800;1.1640;1.1770;1.1770;87600
Feb 19;1.1400;1.1710;1.1400;1.1650;1.1650;19500
Feb 18;1.1620;1.1650;1.1570;1.1630;1.1630;23900
Feb 17;1.1460;1.1650;1.1460;1.1620;1.1620;137701
Feb 14;1.1440;1.1440;1.1330;1.1430;1.1430;28961
Feb 13;1.1320;1.1410;1.1310;1.1370;1.1370;71948
Feb 12;1.1300;1.1400;1.1280;1.1390;1.1390;180201
Feb 11;1.1280;1.1610;1.1220;1.1330;1.1330;103701
Feb 10;1.1220;1.1280;1.1220;1.1280;1.1280;65000
Feb 07;1.1190;1.1250;1.1010;1.1250;1.1250;29000
Feb 06;1.1050;1.1250;1.1030;1.1250;1.1250;61362
Feb 05;1.0970;1.1190;1.0910;1.1160;1.1160;147461
Feb 04;1.1040;1.1070;1.0800;1.1060;1.1060;250400
Feb 03;1.1970;1.1970;1.0800;1.0820;1.0820;319161
Jan 23;1.1920;1.2020;1.1840;1.2000;1.2000;132400
Jan 22;1.1840;1.2120;1.1840;1.2120;1.2120;95811
Jan 21;1.2010;1.2280;1.1990;1.2220;1.2220;57011
Jan 20;1.2310;1.2310;1.2160;1.2230;1.2230;26400
